reference,title,status,filename,source_url,bytes,notes
72,,batch did not return a result,,,0,The batch timed out or failed before producing a status row.
73,A Deep Reinforcement Learning Framework with Memory Network to Coordinate Traffic Signal Control,likely paid/paywalled or no lawful public PDF located,,,0,"DOI=10.1109/ITSC55140.2022.9921752 | https://doi.org/10.1109/itsc55140.2022.9921752 -> HTML without a matching downloadable PDF | https://ro.uow.edu.au/test2021/7419 -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | http://xplorestaging.ieee.org/ielx7/9921415/9921739/09921752.pdf?arnumber=9921752 -> HTML without a matching downloadable PDF | https://ieeexplore.ieee.org/document/9921752/ -> HTML without a matching downloadable PDF | https://doi.org/10.1109/ITSC55140.2022.9921752 -> HTML without a matching downloadable PDF"
77,Time Critic Policy Gradient Methods for Traffic Signal Control in Complex and Congested Scenarios,likely paid/paywalled or no lawful public PDF located,,,0,"DOI=10.1145/3292500.3330988 | https://doi.org/10.1145/3292500.3330988 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://dl.acm.org/doi/10.1145/3292500.3330988 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://dl.acm.org/doi/pdf/10.1145/3292500.3330988 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
79,A Novel Reinforcement Learning-Based Cooperative Traffic Signal System Through Max-Pressure Control,likely paid/paywalled or no lawful public PDF located,,,0,DOI=10.1109/TVT.2021.3069921 | https://doi.org/10.1109/tvt.2021.3069921 -> HTML without a matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/25/9713736/09392372.pdf?arnumber=9392372 -> HTML without a matching downloadable PDF | https://ieeexplore.ieee.org/document/9392372/ -> HTML without a matching downloadable PDF | https://doi.org/10.1109/TVT.2021.3069921 -> HTML without a matching downloadable PDF
82,,batch did not return a result,,,0,The batch timed out or failed before producing a status row.
83,Developing Adaptive Traffic Signal Control by Actor-Critic and Direct Exploration Methods,likely paid/paywalled or no lawful public PDF located,,,0,"DOI=10.1680/jtran.17.00085 | https://research.rug.nl/en/publications/developing-adaptive-traffic-signal-control-by-actor-critic-and-di/ -> HTML without a matching downloadable PDF | https://hig.diva-portal.org/smash/record.jsf?pid=diva2%3A1256155 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.icevirtuallibrary.com/doi/pdf/10.1680/jtran.17.00085 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://doi.org/10.1680/jtran.17.00085 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://research.rug.nl/en/publications/0354a130-3496-4ac1-9283-7cb94fbbc1ab -> HTML without a matching downloadable PDF | https://hdl.handle.net/11370/0354a130-3496-4ac1-9283-7cb94fbbc1ab -> HTML without a matching downloadable PDF | http://www.emerald.com/jtran/article/172/5/289-298/426948 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
86,Enhancing Traffic Signal Control with Composite Deep Intelligence,likely paid/paywalled or no lawful public PDF located,,,0,"DOI=10.1016/j.eswa.2023.123020 | https://doi.org/10.1016/j.eswa.2023.123020 -> HTML without a matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0957417423035224?httpAccept=text/xml -> not PDF (1821 bytes) | https://api.elsevier.com/content/article/PII:S0957417423035224?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0957417423035224 -> HTML without a matching downloadable PDF"
89,Fuzzy Inference Enabled Deep Reinforcement Learning-Based Traffic Light Control for Intelligent Transportation System,likely paid/paywalled or no lawful public PDF located,,,0,DOI=10.1109/TITS.2020.2984033 | https://doi.org/10.1109/tits.2020.2984033 -> HTML without a matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/6979/9509372/09072340.pdf?arnumber=9072340 -> HTML without a matching downloadable PDF | https://ieeexplore.ieee.org/document/9072340/ -> HTML without a matching downloadable PDF | https://doi.org/10.1109/TITS.2020.2984033 -> HTML without a matching downloadable PDF
92,,batch did not return a result,,,0,The batch timed out or failed before producing a status row.
95,Fairness Control of Traffic Light via Deep Reinforcement Learning,likely paid/paywalled or no lawful public PDF located,,,0,DOI=10.1109/CASE48305.2020.9216899 | https://doi.org/10.1109/case48305.2020.9216899 -> HTML without a matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/9210430/9216730/09216899.pdf?arnumber=9216899 -> HTML without a matching downloadable PDF | https://ieeexplore.ieee.org/document/9216899/ -> HTML without a matching downloadable PDF | https://doi.org/10.1109/CASE48305.2020.9216899 -> HTML without a matching downloadable PDF
96,Transferable Traffic Signal Control: Reinforcement Learning with Graph Centric State Representation,likely paid/paywalled or no lawful public PDF located,,,0,"DOI=10.1016/j.trc.2021.103321 | https://pure.kaist.ac.kr/en/publications/transferable-traffic-signal-control-reinforcement-learning-with-g/ -> HTML without a matching downloadable PDF | https://doi.org/10.1016/j.trc.2021.103321 -> HTML without a matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0968090X21003272?httpAccept=text/xml -> not PDF (1876 bytes) | https://api.elsevier.com/content/article/PII:S0968090X21003272?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0968090X21003272 -> HTML without a matching downloadable PDF"
97,Reinforcement Learning for Traffic Signal Control in Hybrid Action Space,not downloaded,,,0,"DOI=10.1109/TITS.2023.3344585 | https://arxiv.org/pdf/2211.12956.pdf -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://export.arxiv.org/pdf/2211.12956 -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://doi.org/10.1109/tits.2023.3344585 -> HTML without a matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/6979/10543072/10379485.pdf?arnumber=10379485 -> HTML without a matching downloadable PDF | https://ieeexplore.ieee.org/document/10379485/ -> HTML without a matching downloadable PDF | https://arxiv.org/pdf/2211.12956v2.pdf -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://export.arxiv.org/pdf/2211.12956v2 -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://doi.org/10.1109/TITS.2023.3344585 -> HTML without a matching downloadable PDF"
98,,batch did not return a result,,,0,The batch timed out or failed before producing a status row.
102,Traffic Signal Control via Reinforcement Learning: A Review on Applications and Innovations,not downloaded,,,0,"DOI=10.3390/infrastructures10050114 | https://www.mdpi.com/2412-3811/10/5/114/pdf -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://mdpi-res.com/d_attachment/infrastructures/infrastructures-10-00114/article_deploy/infrastructures-10-00114-v2.pdf -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://www.mdpi.com/2412-3811/10/5/114 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://www.mdpi.com/2412-3811/10/5/114/pdf?version=1746531161 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://doi.org/10.3390/infrastructures10050114 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://doaj.org/article/04cf2127e1ef4bdbb2dd3899d5e07215 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
